Title,Genre,Year,Page Count
Childhood,Fiction,1852,119
Boyhood,Fiction,1854,93
Youth,Fiction,1856,182
The Cossacks,Fiction,1863,161
War and Peace,Fiction,1869,1225
Anna Karenina,Fiction,1878,864
Resurrection,Fiction,1899,483
Family Happiness,Novella,1859,214
The Death of Ivan Ilyich,Novella,1886,114
The Kreutzer Sonata,Novella,1889,118
The Devil,Novella,1889,56
The Forged Coupon,Novella,1904,104
Hadji Murat,Novella,1904,212
The Raid,Short Story,1853,38
The Wood-Felling,Short Story,1855,42
Sevastopol Sketches,Short Story,1855,240
A Billiard-Marker's Notes,Short Story,1855,50
The Snowstorm,Short Story,1856,48
Two Hussars,Short Story,1856,156
A Landlord's Morning,Short Story,1856,50
Meeting a Moscow Acquaintance in the Detachment,Short Story,1857,50
Lucerne,Short Story,1857,59
Albert,Short Story,1858,50
Three Deaths,Short Story,1859,18
The Porcelain Doll,Short Story,1863,50
Polikúshka,Short Story,1863,66
"God Sees the Truth, But Waits",Short Story,1872,50
The Prisoner in the Caucasus,Short Story,1872,50
The Bear-Hunt,Short Story,1872,50
What Men Live By,Short Story,1881,22
Memoirs of a Madman,Short Story,1884,50
Quench the Spark,Short Story,1885,50
Two Old Men,Short Story,1885,50
"Where Love Is, God Is",Short Story,1885,50
Ivan the Fool,Short Story,1885,50
"Evil Allures, But Good Endures",Short Story,1885,50
Wisdom of Children,Short Story,1885,50
Ilyás,Short Story,1885,50
The Three Hermits,Short Story,1886,9
Promoting a Devil,Short Story,1886,50
How Much Land Does a Man Need?,Short Story,1886,16
The Grain,Short Story,1886,50
The Godson,Short Story,1886,50
Repentance,Short Story,1886,50
Croesus and Fate,Short Story,1886,50
Kholstomer,Short Story,1888,50
A Lost Opportunity,Short Story,1889,50
The Empty Drum,Short Story,1891,50
Françoise,Short Story,1892,50
A Talk Among Leisured People,Short Story,1893,50
Walk in the Light While There is Light,Short Story,1893,50
The Coffee-House of Surrat,Short Story,1893,6
Master and Man,Short Story,1895,50
Too Dear!,Short Story,1897,50
Father Sergius,Short Story,1898,46
"Esarhaddon, King of Assyria",Short Story,1903,50
"Work, Death, and Sickness",Short Story,1903,50
Three Questions,Short Story,1903,3
After the Ball,Short Story,1903,14
The Posthumous Notes of the Starets Feodor Kuzmich,Short Story,1905,50
Alyosha the Pot,Short Story,1905,10
Divine and Human,Short Story,1906,50
What For?,Short Story,1906,50
Three Days in the Village,Short Story,1910,50
A Confession,Play,1886,92
The First Distiller,Play,1886,28
The Light Shines in Darkness ,Play,1890,62
The Fruits of Enlightenment ,Play,1891,128
The Living Corpse ,Play,1900,128
The Cause of it All,Play,1910,32
A Confession,Non-fiction,1879,60
A Criticism of Dogmatic Theology,Non-fiction,1880,50
The Gospel in Brief,Non-fiction,1881,176
The Four Gospel Unified and Translated,Non-fiction,1881,406
Church and State,Non-fiction,1882,13
What I Believe,Non-fiction,1884,151
What Is to Be Done?,Non-fiction,1886,256
On Life,Non-fiction,1887,180
The Love of God and of One's Neighbour,Non-fiction,1889,50
Why Do Men Intoxicate Themselves?,Non-fiction,1890,80
The First Step: on vegetarianism,Non-fiction,1892,78
The Kingdom of God Is Within You,Non-fiction,1893,200
Non-Activity,Non-fiction,1893,50
The Meaning of Refusal of Military Service,Non-fiction,1893,50
Reason and Religion,Non-fiction,1894,6
Religion and Morality,Non-fiction,1894,31
Christianity and Patriotism,Non-fiction,1894,88
Non-Resistance: letter to Ernest H. Crospy,Non-fiction,1896,6
How to Read the Gospels,Non-fiction,1896,4
The Deception of the Church,Non-fiction,1896,4
Letter to the Liberals,Non-fiction,1898,7
Christian Teaching,Non-fiction,1898,226
On Suicide,Non-fiction,1900,1
The Slavery of Our Times,Non-fiction,1900,33
Thou Shalt Not Kill,Non-fiction,1900,4
Reply to the Holy Synod,Non-fiction,1901,5
The Only Way,Non-fiction,1901,50
On Religious Toleration,Non-fiction,1901,5
What Is Religion and What is its Essence?,Non-fiction,1902,49
To the Orthodox Clergy ,Non-fiction,1903,50
Thoughts of Wise Men,Non-fiction,1904,50
The Only Need,Non-fiction,1905,50
The Great Sin,Non-fiction,1905,50
A Cycle of Reading ,Non-fiction,1906,50
Do Not Kill ,Non-fiction,1906,50
Love Each Other ,Non-fiction,1906,5
An Appeal to Youth ,Non-fiction,1907,50
The Law of Love and the Law of Violence,Non-fiction,1908,81
The Only Command,Non-fiction,1909,50
A Calendar of Wisdom,Non-fiction,1909,384
The Works of Guy de Maupassant,Non-fiction,1894,19
What Is Art?,Non-fiction,1897,244
Shakespeare and the Drama,Non-fiction,1909,88
On Popular Instruction,Non-fiction,1874,38
